TITULO,AUTOR,ARMARIO,PRATILEIRA
A VIDA ESCREVE,FRANCISCO C NDIDO XAVIER - WALDO VIEIRA,2,D
A VOLTA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
BAZAR DA VIDA,FRANCISCO C NDIDO XAVIER - JAIR PRESENTE,2,D
BRILHE VOSSA LUZ,"FRANCISCO C NDIDO XAVIER, CARLOS A. BACCELLI - ESP RITOS DIVERSOS",2,D
CAMINHO ESP RITA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
CAMINHOS DE VOLTA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
CARIDADE,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
CARMELO GRISI ELE MESMO,FRANCISCO C NDIDO XAVIER - GERSON SESTINI,2,D
CARAVANA DE AMOR,FRANCISCO C NDIDO XAVIER - H RCIO MARCOS C. ARANTES - ESP. DIVERSOS,2,D
CARTAS DE UMA MORTA,FRANCISCO C NDIDO XAVIER - MARIA JO O DE DEUS,2,D
CHICO XAVIER PEDE LICEN A,"FRANCISCO C NDIDO XAVIER, HECULANO PIRES - ESP RITOS DIVERSOS",2,D
CLARAMENTE VIVOS,"FRANCISCO C NDIDO XAVIER, ELIAS BARBOSA - ESP RITOS DIVERSOS",2,D
COMANDOS DO AMOR,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
CONFIA E SERVE,"FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS, CARLOS A. BARCELLI",2,D
CORREIO FRATERNO,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
CURA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
DICION RIO DA ALMA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
DOUTRINA ESCOLA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
EDUCAND RIO DE LUZ,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
ELES VOLTARAM,"FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS, H RCIO MARCOS C. ARANTE",2,D
ENCONTRO DE PAZ,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,D
ENCONTROS NO TEMPO,"FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS, H RCIO MARCOS A. ARANTE",2,D
ENTES QUERIDOS,"FRANCISCO C NDIDO XAVIER, CAIO RAMACCIOTTI E DIVERSOS ESP RITOS",2,D
ENTRE DUAS VIDAS,FRANCISCO C NDIDO XAVIER - ELIAS BARBOSA,2,E
ENTRE IRM OS DE OUTRAS TERRAS,FRANCISCO C NDIDO XAVIER E WALDO VIEIRA,2,E
ENTREVISTAS,"FRANCISCO C NDIDO XAVIER, EMMANUEL",2,D
ENXUGANDO L GRIMAS,"FRANCISCO C NDIDO XAVIER, ELIAS BARBOSA",2,D
E O AMOR CONTINUA,"FRANCISCO C NDIDO XAVIER, DIVALDO PEREIRA FRANCO",2,E
ESPERAN A E ALEGRIA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,E
ESTRELAS NO CH O,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,E
FALANDO   TERRA,FRANCISCO C NDIDO XAVIER,2,E
FALOU E DISSE,FRANCISCO C NDIDO XAVIER - AUGUSTO C SAR,6,E
FAM LIA,FRANCISCO C NDIDO XAVIER,2,E
FILHOS VOLTANDO,"FRANCISCO C NDIDO XAVIER, C NDIDO XAVIER - JOS  R.P. DA SILVA e CASSI ",2,E
FONTE DE PAZ,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,E
LEALDADE,FRANCISCO C NDIDO XAVIER,2,E
LUZ NO LAR,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,E
FOTOS DA VIDA,"FRANCISCO C NDIDO XAVIER,  AUGUSTO C SAR",2,E
GABRIEL,"FRANCISCO C NDIDO XAVIER, ELIAS BARBOSA",2,D
GAVETA DE ESPERAN A,PRISCILLA P.S. BASILE/FRANCISCO C NDIDO XAVIER,2,D
GRATID O E PAZ,FRANCISCO C NDIDO XAVIER/H RCIO MARCOS C. ARANTES,2,D
HORAS DE LUZ,"FRANCISCO C NDIDO XAVIER, ELIAS BARBOSA",2,D
IDEAL ESP RITA,FRANCISCO C NDIDO XAVIER,2,D
IDEIAS E ILUSTRA  ES,FRANCISCO C NDIDO XAVIER,2,D
INTERC MBIO DO BEM,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,E
IRM OS UNIDOS,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,2,E
IRM  VERA CRUZ,"FRANCISCO C NDIDO XAVIER, ELIAS BARBOSA - VERA CRUZ",2,E
IRM  VERA CRUZ,"FRANCISCO C NDIDO XAVIER, ELIAS BARBOSA",3,A
JANELA PARA A VIDA,FRANCISCO C NDIDO XAVIER/FERNANDO WORM,3,A
JESUS NO LAR,CHICO XAVIER,3,A
JOVENS DO AL M,FRANCISCO C DIDO XAVIER/CAIO RAMACCIOTTI,3,A
"A P TALA VERMELHA, NADA   POR ACASO, POIS O ACASO N O EXISTE",OCT VIO AUGUSTO,3,E
AL M DOS LIMITES DO C U,ONEIDA TERRA - CANDIDA,3,E
O SER HOMEM,OSVALDO LUIZ GON ALVES QUELHAS,3,E
OS PADR ES EVANG LICOS,PAULO ALVES GODOY,3,E
ABC DA PR TICA MEDI NICA,"PEDRO CAMILO, RITA FOELKER - GILBERTO",3,E
"YVONNE PEREIRA, ENTRE CARTAS E RECORDA  ES",PEDRO CAMILO,3,E
YVONE PEREIRA UMA HERO NA SILENCIOSA,PEDRO CAMILO,3,E
O MESTRE NA EDUCA  O,PEDRO DE CAMARGO VIN CIUS,3,E
O SONHO DE ZAIRA,PEDRO SANTIAGO,3,E
UM DIA NO PASSADO,PEDRO SANTIAGO,3,E
A GRANDE SINTESE,PIETRO UBALDI,3,E
A IDADE M DIA E SEUS HORIZONTES ESPIRITUAIS,PINEIRO MARTINS,3,E
PERSEVERAN A,P BLIO CAR SIO DE PAULA E OUTROS,3,E
LINDOS CASOS DE BEZERRA DE MENEZES,RAMIRO GAMA,3,E
LINDOS CASOS DE CHICO XAVIER,RAMIRO GAMA,3,E
SERVI  S DO SENHOR,RAMIRO GAMA,3,E
AGLON E OS ESP RITOS DO MAR,R.A.RANIERE,3,E
JERUSAL M LIBERTADA PELO ESP RITO DE HUMBERTO DE CAMPOS,R.A.RANIERE,3,E
O DIV RCIO SEGUNDO O ESPIRITISMO,R.A.RANIERE,3,E
A REVELA  O DA CHAVE,RAYMUNDO RODRIGUES ESPELHO,3,E
REFLEXOS DAS ATITUDES,"RAYMUNDO RODRIGUES ESPELHO, MILTON LUZ, LAURO CATALDI",3,E
ALMAS APRISIONADAS,RENATO MODESTO - AMADEU,4,B
MUITAS VIDAS,RENATO MODESTO,4,C
A MORTE EM QUEST O,RENOLD J. BLANK,4,B
OS BENEF CIOS DO EQUIL BRIO,RICARDO SIM ES DE MAGALH ES,4,B
A FOR A DAS ID IAS,RICHARD SIMONETTI,4,B
A VOZ DO MONTE,RICHARD SIMONETTI,4,B
ENDERE O CERTO,RICHARD SIMONETTI,4,B
N O PEQUES MAIS!,RICHARD SIMONETTI,4,B
O PLANO B,RICHARD SIMONETTI,4,B
O VASO DE PORCELANA,RICHARD SIMONETTI,4,B
PARA RIR E REFLETIR,RICHARD SIMONETTI,4,B
QUEM TEM MEDO DA OBSESS O?,RICHARD SIMONETTI,4,B
QUEM TEM MEDO DOS ESP RITOS,RICHARD SIMONETTI,4,C
REENCARNA  O,RICHARD SIMONETTI,4,C
UMA RAZ O PARA VIVER,RICHARD SIMONETTI,4,C
UM JEITO DE SER FELIZ,RICHARD SIMONETTI,4,C
VIVER EM PLENITUDE,RICHARD SIMONETTI,4,C
A PASSAGEM,RICK MEDEIROS,4,C
QUANDO ELE VOLTAR,RICK MEDEIROS,4,C
FRANCISCO DE ASSIS E IRM  CLARA,RINALDO DE SANTIS,4,C
CRISTIANISMO DE JESUS A KARDEC,RINO CURTI,4,C
O PASSE,RINO CURTI,4,C
LIBERDADE E OUTROS TEMAS,RITA FOELKER,4,C
TERNURA E DESEJO,RITA FOELKER,4,C
A CABANA DAS FLORES,ROBERTO DE CARVALHO,4,C
O PEQUENO M DIUM,ROBERTO DE CARVALHO,4,C
CONVERSANDO SOBRE A SEXULAIDADE,ROBERTO L CIO VIEIRA DE SOUZA,4,C
O APOCALIPSE   AGORA,MS ROBERTO VIRG LIO,4,C
CAN  O DA ESPERAN A: DI RIO DE UM AID TICO,ROBSON PINHEIRO SANTOS,4,C
AS LEIS MORAIS,RODOLFO CALLIGARIS,4,C
A VIDA EM FAM LIA,RODOLFO CALLIGARIS,4,C
O SERM O DA MONTANHA,RODOLFO CALLIGARIS,4,C
PAR BOLAS  EVANG LICAS,RODOLFO CALLIGARIS,4,C
A HIST RIA DE UM ANJO: ,ROGER BOTTINI PARANHOS,4,C
MOIS S: EM BUSCA DA TERRA PROMETIDA,ROGER BOTTINI PARANHOS,4,C
E DEPOIS DA MORTE. O QUE ACONTECE?,ROG RIO COELHO,4,C
AN LIA FRANCO,ROQUE JACINTHO,4,C
CELEIRO DE LUZ,ROQUE JACINTO,4,C
DESENVOLVIMENTO MEDI NICO,ROQUE JACINTO,4,C
DOUTRINA  O,ROQUE JACINTO,4,C
"FILHOS, COMO EDUC -LOS",ROQUE JACINTO,4,C
JESUS E KARDEC,ROQUE JACINTO,4,C
KARDEC E EMMANUEL,ROQUE JACINTO,4,C
O CAPIT O ARLUZ,ROQUE JACINTO,4,C
PASSE E PASSISTA,ROQUE JACINTO,4,C
TRATAMENTO DA OBESS O,ROQUE JACINTO,4,C
SE EU SOUBESSE,ROSE DOS ANJOS,4,C
A COR DE DEUS,RUDMAR AUGUSTO,4,C
ENXAQUECA DEPRESS O,SAARA NOUSIAINEN,4,C
O GRANDE GENERAL,SALETE SATTIN - RODRIGO GALLERA,4,C
UMA ALMA MUITAS VIDAS,SALETE SATTIN,4,C
ESCOLA DA VIDA,SALVADOR GENTILE,4,C
LIBERTA  O,SALVADOR GENTILE,4,C
MUNDO DOS ESP RITOS,SALVADOR GENTILE,4,C
O PASSE MAGN TICO,SALVADOR GENTILE,4,C
SENZALA,SALVADOR GENTILE,4,C
JORNADA DOS ANJOS,SANDRA CARNEIRO,4,C
RENASCER DA ESPERAN A,SANDRA CARNEIRO - LUCIUS,4,D
REENCARNA  O,S RGIO FERNANDES ALEIXO,4,D
CONCEITOS DE CAIRBAR SCHUTEL,S RGIO LOUREN O,4,D
 NFORA DE LUZ,SHYRLENE SOARES CAMPOS - ESP RITOS DIVERSOS,4,D
ARENA CRIST ,SHYRLENE SOARES CAMPOS - GLACUS,4,D
AT  UM DIA,SHYRLENE SOARES CAMPOS - ESP RITOS DIVERSOS,4,D
CH O DE LUZ,SHYRLENE SOARES CAMPOS - BEZERRA DE MENEZES,4,D
DA JANELA DA SAUDADE,SHYRLENE SOARES CAMPOS - ESP RITOS DIVERSOS,4,D
ESCOLHENDO VIVER,SHYRLENE SOARES CAMPOS - ESP RITOS DIVERSOS,4,D
ASPIRAL DE LUZ,SHYRLENE SOARES CAMPOS - ESP RITOS DISVERSOS,4,D
MARIA DE MAGDALA,SHYRLENE SOARES CAMPOS - ESP RITOS DIVERSOS,4,D
MENSAGENS DE LUZ,SHYRLENE SOARES CAMPOS - SKANAY,4,D
O CANTOR DA COTOVIA,SHYRLENE SOARES CAMPOS - COTOVIA TRISTE,4,D
O JARDIM DE DEUS,SHIRLENE SOARES CAMPOS,4,D
O SERVO FIEL,SHIRLENE SOARES CAMPOS,4,D
TESTEMUNHOS DA F ,SHIRLENE SOARES CAMPOS,4,D
UM AMANH  DE LUZ,SHIRLENE SOARES CAMPOS,4,D
UNIDOS PELA SAUDADE,SHIRLENE SOARES CAMPOS,4,D
LUZES NO BRASIL,SIDNEY FERNANDES,4,D
POR QUE CREIO NA IMORTALIDADE DA ALMA,SIR OLIVER LODGE,4,D
RAYMOND,SIR OLIVER LODGE,4,D
A FOR A DO PENSAMENTO,SISSI ANTUNES,4,D
NO LIMITE DA ILUS O,S NIA TOZZI,4,D
OBSESS O E DESOBSSESS O,SUELY CALDAS SCHUBERT,4,D
O SEMEADOR DE ESTRELAS,SUELY CALDAS SCHUBERT,4,D
TESTEMUNHOS DE CHICO XAVIER,SUELY CALDAS SCHUBERT,4,D
TRANSTORNOS MENTAIS,SUELY CALDAS SCHUBERT,4,D
A VIDA DE ALEXANDRE ENOVITH,SYLVIA PASCHOAL,4,D
"EDUCAR, UMA LI  O DE AMOR",TANIA D. QUEIROZ,4,E
A SOMBRA DE UMA PAIX O,TANYA OLIVEIRA,4,E
O DESPERTAR DAS ILUS ES,TANYA OLIVEIRA,4,E
O IGNORADO AMOR,THE PHILE GAUTIER,4,E
ESTUDO ESP RITAS DO EVANGELHO,THEREZINHA OLIVEIRA,4,E
CHICO XAVIER UMA VIDA DE AMOR,UBIRATAN MACHADO,4,E
AMOR E TRAI  O,UMBERTO FABBRI/JAIR SANTOS,4,E
PECADO E CASTIGO,UMBERTO FABBRI - JAIR DOS SANTOS,4,E
ESCLARECENDO OS DESENCARNADOS,UMBERTO FERREIRA,4,E
ESCLARECENDO OS JOVENS,UMBERTO FERREIRA,4,E
OPERA  ES ESPIRITUAIS,URBANO PEREIRA,4,E
CHICO XAVIER FONTE DE LUZ E B N  OS,URBANO T. VIEIRA DE DIRVEEU ABDALA,3,C
O MOSTEIRO DE S O JER NIMO,WALTER TURINI,5,A
SE EU N O TE AMASSE TANTO ASSIM,VALTER TURINI,5,A
A CARTA DO ESCRITOR,VERA L CIA MARINZECK DE CARVALHO,5,A
ACONTECEU,VERA L CIA MARINZECK DE CARVALHO,5,A
AQUELES QUE AMAM,VERA L CIA MARINZECK DE CARVALHO,5,A
AMAI OS INIMIGOS,VERA L CIA MARINZECK DE CARVALHO - ANTONIO CARLOS,5,B
A MANS O DA PEDRA TORTA,VERA L CIA MARINZECK DE CARVALHO,5,A
DEFICIENTE MENTAL,VERA L CIA MARINZECK DE CARVALHO,5,A
ESCRAVO BERNARDINO,VERA L CIA MARINZECK DE CARVALHO,5,A
"N S, OS JOVENS",VERA L CIA MARINZECK DE CARVALHO,5,A
O ATEU,VERA L CIA MARINZECK DE CARVALHO,5,A
O ROCHEDO DOS AMANTES,VERA L CIA MARINZECK DE CARVALHO - ANTONIO CARLOS,4,C
PERANTE A ETERNIDADE,VERA L CIA MARINZECK DE CARVALHO - ESP RITOS DIVERSOS,5,A
RECONCILIA  O,VERA L CIA MARINZECK DE CARVALHO - ANTONIO CARLOS,5,A
ROSANA A TERCEIRA V TIMA FATAL,JO O DUARTE DE CASTRO - ANT NIO CARLOS,5,A
UM NOVO RECOME O,VERA L CIA MARINZECK DE CARVALHO,5,A
VALEU A PENA!,"VERA L CIA MARINZECK DE CARVALHO - FELISBERTO, MARIA DALVA E SAULO",5,A
VIVENDO NO MUNDO DOS ESP RITOS,VERA L CIA MARINZECK DE CARVALHO - PATR CIA,4,E
EM TORNO DO MESTRE,VINICIUS,5,A
APOMETRIA,VITOR RONALDO COSTA,5,A
O GUERREIRO LEPROSO,V LIA LOUREIRO DE AMARAL LIMA - GALINDO,5,A
CARTAS AO MO O ESP RITA,EMMANUEL CRISTIANO,2,C
EM NOVOS HORIZONTES,WAGNER GOMES DA PAIX O,4,D
O EVANGELHO REDIVIVO,WAGNER GOMES DA PAIX O - ESP RITOS DIVERSOS,4,D
CRISTO ESPERA POR TI,WALDO OLIVEIRA - BALZAC,4,D
PROJE  ES DA CONSCI NCIA,WALDO OLIVEIRA,4,D
SOL NAS ALMAS,WALDO OLIVEIRA - ANDR  LUIZ,4,D
SONETOS DE VIDA E LUZ,WALDO VIEIRA ,3,E
T CNICA DE VIVER,WALDO VIEIRA - KELVIN VAN DINE,4,E
ALLAN CARDEC,Z US WANTUIL E FRANCISCO THIESEN,5,B
AS MESAS GIRANTES E O ESPIRITISMO,Z US WANTUIL,5,B
GRANDES ESP RITAS DO BRASIL,Z US WANTUIL,5,B
O CARDEAL,WALACE FERNANDO NEVES,4,E
A ESQUINA DE PEDRA,WALLACE LEAL VALENTIN RODRIGUES,4,E
"E, PARA O RESTO DA VIDA...",WALLACE LEAL V. RODRIGUES,4,B
REMOTOS C NTICOS DE BEL M,WALLACE LEAL V. RODRIGUES,4,B
A ARTE MORAL DE EDUCAR OS FILHOS,WALTER BARCELOS,4,B
SEXO E EVOLU  O,WALTER BARCELOS,4,E
PR TICA PEDAG GICA NA EVANGELIZA  O,WALTER OLIVEIRA ALVES,4,E
A CAMPONESA DA CASA DE PEDRA,WANDA A. CANUTTI,4,E
AMOR E SACRIF CIO,WANDA A. CANUTTI,4,E
EM NOME DE DEUS,WANDA A. CANUTTI,4,E
RENASCENDO DO  DIO,WANDA A. CANUTTI,4,E
ATITUDE DE AMOR,WANDERLEY SOARES DE OLIVEIRA,4,E
LA OS DE AFETO,W,4,E
L RIOS DA ESPERAN A,WANDERLEY SOARES DE OLIVEIRA,4,E
MERE A SER FELIZ,WANDERLEY SOARES DE OLIVEIRA,4,E
O LADO OCULTO DA TRANSI  O PLANET RIA,WANDERLEY SOARES DE OLIVEIRA,4,E
PASSES E CURAS ESPIRITUAIS,WENEFLEDO DE TOLEDO,4,E
ABADIA DOS BENEDITINOS,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,4,E
A IRA DIVINA,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,4,E
EPIS DIO DA VIDA DE TIB RIO,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,4,E
NA FRONTEIRA,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,4,E
NARRATIVAS OCULTAS,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,4,E
O FARA  MERNEPHTAH,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,4,E
OS SERVI OS DO MAL,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,4,E
ROMANCE DE UMA RAINHA,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,5,A
MEC NICA PS QUICA,WILLIAM JACKSON CRAWFORD,5,A
ENSINO ESPIRITUALISTAS,WILLIAN STAINTON MOSES,5,A
CAST LIA,WILSON FERREIRA DE MELO,5,A
A CASA DAS CHAVES,WILSON FRUNGILO J NIOR,5,A
ALA DEZOITO,WILSON FRUNGILO J NIOR,5,A
BAIRRO DOS ESTRANHOS,WILSON FRUNGILO J NIOR,5,A
LUAR PEREGRINO,WILSON FRUNGILO J NIOR,5,A
DO OUTRO LADO,WILSON FRUNGILO J NIOR,5,A
LIVRE PARA VOAR,WILSON FRUNGILO J NIOR,5,A
O ABRIDOR DE LATAS,WILSON FRUNGILO J NIOR,5,A
O CAMAFEU,WILSON FRUNGILO J NIOR,5,A
O SENHOR DAS TERRAS,WILSON FRUNGILO J NIOR,5,A
UMA DECLARA  O DE AMOR,WILSON FRUNGILO J NIOR,5,A
O CENTRO ESP RITA,WILSON GARCIA,5,A
NOSSO CENTRO,WILSON GARCIA,5,A
CHICO XAVIER E ANDR  LUIZ,WORNEY ALMEIDA DE SOUZA,5,A
JK,WOYNE FIGNER SACCHETIN,5,A
  LUZ DO CONSOLADOR,YVONE DO AMARAL PEREIRA,6,A
C NTICOS DO CORA  O,YVONNE DO AMARAL PEREIRA,5,A
DEVASSANDO O INVIS VEL,YVONNE DO AMARAL PEREIRA,5,B
RECORDA  ES DA MEDIUNIDADE,YVONNE DO AMARAL PEREIRA,5,B
A TRAG DIA DE SANTA MARIA,YVONNE DO AMARAL PEREIRA - BEZERRA DE MENEZES,5,A
DRAMAS DA OBSESS O,YVONNE DO AMARAL PEREIRA - BEZERRA DE MENEZES,5,B
AMOR E  DIO,YVONNE DO AMARAL PEREIRA - CHARLES ,5,A
O CAVALEIRO DE NUMIERS,YVONNE DO AMARAL PEREIRA - CHARLES ,5,B
O DRAMA DE BRETANHA,YVONNE DO AMARAL PEREIRA - CHARLES ,5,B
RESSURREI  O E VIDA,YVONNE DO AMARAL PEREIRA - LE O TOLSTOI,5,B
SUBLIMA  O,YVONNE DO AMARAL PEREIRA - LE O TOLSTOI E CHARLES,5,B
AMARGA TRAJET RIA,Z LIA CARNEIRO BARUFFI - CELMO ROBEL,5,B
O  LIMO PASSAGEIRO,Z LIA CARNEIRO BARUFFI - CELMO ROBEL,5,B
ELES CONTINUAM ENTRE N S,ZIBIA GASPARETTO,5,B
NADA   POR ACASO,ZIBIA GASPARETTO,5,A
PEDA OS SO COTIDIANO,Z BIA GASPARETTO,5,B
A VIDA SABE O QUE FAZ,Z BIA GASPARETTO,5,B
ENTRE O AMOR E A GUERRA,Z BIA GASPARETTO,5,B
ESPINHOS DO TEMPO,Z BIA GASPARETTO,5,B
LA OS ETERNOS,Z BIA GASPARETTO,5,B
O AMOR VENCEU,Z BIA GASPARETTO,5,B
MORRO DAS ILUS ES,Z BIA GASPARETTO,5,B
O MUNDO EM QUE VIVO,Z BIA GASPARETTO,5,B
PELAS PORTAS DO CORA  O,ZIBIA GASPARETTO - LUCIUS,5,B
QUANDO   PRECISO VOLTAR,Z BIA GASPARETTO,5,B
SEM MEDO DE VIVER,Z BIA GASPARETTO,5,B
TUDO TEM SEU PRE O,Z BIA GASPARETTO,5,B
VENCENDO O PASSADO,ZIBIA GASPARETTO,7,A
SOMOS TODOS INOCENTES,ZIBIA GASPARETTO - LUCIUS,5,B
BATE-PAPO COM O AL M,ZIBIA GASPARETTO - SILVEIRA SAMPAIO,5,B
DO CALV RIO AO INFINITO,ZILDA GAMA - VICTOR HUGO,5,B
DOR SUPREMA,ZILDA GAMA - VICTOR HUGO,5,B
NA SOMBRA E NA LUZ,ZILDA GAMA - VICTOR HUGO,5,B
O SOLAR DE AP LO,ZILDA GAMA - VICTOR HUGO,5,B
REENCARNA  O,ZILDA GAMA,5,C
CORREIO DE LUZ,ZILDA GIUNCHETTI ROSIN,5,C
MORTE   VIDA,ZILDA GIUNCHETTI ROSIN,5,C
PERDA DE ENTES QUERIDOS,ZILDA GIUNCHETTI ROSIN,5,C
TRAVESSIA DE LUZ,Z BIA GASPARETTO,5,C
O LIVRO DA REENCARNA  O,ZOLAR,5,C
V S SOIS DEUSES,J.W ROCHESTER,1,C
HIST RIAS PARA O CORA  O,ALICE GRAY,1,B
AL M DO INFINITO AZUL,ANTONIO DEMARCHI,1,C
MEM RIAS DA MEDIUNIDADE,ALCEU COSTA FILHO,1,B
NO SIL NCIO DOS CLAUSTROS,EUL LIA BUENO,6,E
APRENDENDO SOBRE O ESPIRITISMO,FL VIO T VORA PINHO,2,D
SOMOS IMORTAIS,FRANCISCO KOLLAR,1,C
DESOBSESS O,LUIZ GONZAGA PINHEIRO,4,B
HIST RIAS QUE TRAZEM FELICIDADE,RICHARD SIMONETTI,4,C
A VIDA ENSINOU,MARIA IDA BACHEGA BOL ONE,4,A
TREZE ALMAS,MARCELO CEZAR - MARCO AUR LIO,4,A
NOSSOS FILHOS S O OS ESP RITOS,HERM NIO CORR A DE MIRANDA,3,C
HOMOSSEXUALIDADE SOB A  TICA DO ESP RITO IMORTAL,ANDREI MOREIRA,1,C
EVOLU  O PELO AMOR,ROSSANO SOBRINHO,4,C
PR TICA PEDAG GICA NA EVANGELIZA  O,WALTER OLIVEIRA ALVES,4,E
MEDIUNIDADE E SOBREVIV NCIA,ALAN GAULD,1,B
O MUNDO QUE ENCONTREI,ALAYDE DE ASSUN  O E SILVA,1,B
A MORTE DO PLANETA,WERA KRYZHANOVSKAIA - CONDE J.W. ROCHESTER,4,E
A VERDADE DE CADA UM,Z BIA GASPARETTO,5,C
O MATUTO,Z BIA GASPARETTO,5,C
PARA VIVER SEM SOFRER,ZIBIA GASPARETTO - LUIZ ANTONIO,5,C
SE ABRINDO PRA VIDA,ZIBIA GASPARETTO - LUCIUS,5,C
O AMOR   PARA OS FORTES,MARCELO CEZAR - MARCO AUR LIO,4,A
DESEJO,M NICA DE CASTRO,4,A
APESAR DE TUDO,M NICA DE CASTRO,4,A
UMA HIST RIA DE ONTEM,M NICA DE CASTRO,3,B
DE TODO O MEU SER,M NICA DE CASTRO - LEONEL,3,B
G MEAS,M NICA DE CASTRO - LEONEL,3,B
ELA S  QUERIA CASAR,MARCELO CEZAR - MARCO AUR LIO,4,A
A VIDA SEMPRE VENCE,MARCELO CEZAR - MARCO AUR LIO,4,A
DROGAS TORTUOSO CAMINHO,NORMA JORGE MOREIRA,7,B
O JOIO E O TRIGO,CARLOS ANTONIO BACCELLI - IN CIO FERREIRA,1,E
VIT RIA SOBRE A DEPRESS O,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
LIBERA  O PELO AMOR,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
OTIMISMO,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
LI  ES PARA FELICIDADE,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
NO RUMO DA FELICIDADE,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
NASCENTE DE BEN  OS,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
ILUMINA-TE,DIVALDO FRANCO PEREIRA FRANCO,2,A
VIDA: DESAFIOS E SOLU  ES,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
"EU ME AMO, EU N O TENHO V CIOS",DIVALDO PEREIRA FRANCO,2,A
MEDIUNIDADE: DESAFIOS E B N  OS,DIVALDO FRANCO - MANOEL PHILOMENO DE MIRANDA,2,B
CELESTE SANTOS ,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
P SSAROS HUMANOS,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,5,D
CARIDADE,CHICO XAVIER - EMMANUEL E OUTROS,5,C
MAIS PERTO,FRANCISCO C NDIDO XAVIER - EMMANUEL,5,D
PALAVRAS DE VIDA ETERNA,FRANCISCO C NDIDO XAVIER - EMMANUEL,5,D
UM AMOR DE VERDADE,ZIBIA GASPARETTO - LUCIUS,5,C
O MORRO DAS ILUS ES,ZIBIA GASPARETTO - LUCIUS,5,C
O AMANH  A DEUS PERTENCE,ZIBIA GASPARETTO - LUCIUS,5,C
O CASTELO DOS SONHOS,VERA L CIA MARINZECK DE CARVALHO - ANTONIO CARLOS,5,A
AS FLORES TAMB M FLORESCEM NO INVERNO,SHIRLENE SOARES CAMPOS,4,D
NAS CATEDRAIS DA DOR,SHYRLENE SOARES CAMPOS - ESP RITOS DISVERSOS,4,D
SENTINDO NA PR PRIA PELE,M NICA DE CASTRO,4,A
OBSESS O SEXUAL: UMA PORTA PARA A LOUCURA,LUIZ GONZAGA PINHEIRO,3,D
AS CONTRIBUI  ES DE ANDR  LUIZ,LUIZ GONZAGA PINHEIRO,4,B
ESTA  O FINAL,FERNANDO DE SOUZA,2,D
DI LOGO FRATERNO,MARLON REIKDAL,4,B
MEM RIAS E CONFISS ES,EMMANUEL CRISTIANO,2,C
QUANDO O PASSADO   MAIS FORTE,MA RICIO DE CASTRO - SAULO,4,A
O ESP RITO DA VERDADE,FRANCISCO C NDIDO XAVIER - WALDO VIEIRA,3,A
MENTES INTERCONECTADAS E A LEI DE ATRA  O,SUELY CALDAS SCHUBERT,4,D
OS PODERES DA MENTE,SUELY CALDAS SCHUBERT,4,D
MULHERES FASCINANTES,CIRIN IA IOLANDA MAFFEI,1,E
HOMENS NOT VEIS,CIRIN IA IOLANDA MAFFEI,1,E
RETRATOS DE NAZAR ,CIRIN IA IOLANDA MAFFEI,1,E
